                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   56.6   62.6  20:29   52.9  06:25    8.4    0.0   0.00   11.4   20.8  06:31    181
 02   58.2   63.3  21:11   54.5  08:30    6.8    0.0   0.00   10.0   21.0  16:15    206
 03   57.2   59.9  00:29   55.6  21:29    7.8    0.0   0.00    9.7   21.3  13:53    235
 04   62.0   71.4  18:48   57.0  04:20    3.0    0.0   0.00    5.1   15.8  11:58    250
 05   59.6   63.3  00:00   56.8  23:26    5.4    0.0   0.00    7.4   17.0  18:39    257
 06   55.1   57.4  03:09   53.2  14:30    9.9    0.0   0.00   11.7   21.0  14:07    246
 07   55.6   57.0  18:15   54.5  04:53    9.4    0.0   0.17   12.1   21.3  14:52    250
 08   56.2   57.9  17:08   53.8  10:10    8.8    0.0   0.00   12.4   21.0  18:33    220
 09   55.7   57.6  11:40   53.4  23:55    9.3    0.0   0.00   10.9   21.1  16:12    200
 10   53.6   55.9  16:38   52.2  04:10   11.4    0.0   0.00   11.0   21.3  18:26    231
 11   58.0   61.3  13:43   53.8  00:04    7.0    0.0   0.00    7.9   20.3  15:53    253
 12   55.8   60.3  00:45   54.1  22:22    9.2    0.0   0.00   10.4   21.3  22:21    264
 13   53.2   54.5  01:45   52.2  10:56   11.8    0.0   0.25   14.8   21.2  01:50    240
 14   56.2   62.4  18:47   52.9  06:02    8.8    0.0   0.00    9.9   18.4  12:48    204
 15   59.5   64.9  16:24   55.2  07:02    5.5    0.0   0.00    6.5   18.8  15:31    196
 16   59.8   65.7  16:24   55.9  08:43    5.2    0.0   0.00    7.6   20.7  21:52    241
 17   60.0   71.8  18:19   54.3  05:49    5.0    0.0   0.00    8.4   21.2  13:50    258
 18   57.8   60.4  03:20   54.5  22:48    7.2    0.0   0.00    9.2   21.2  14:51    247
 19   53.0   55.9  01:19   51.1  11:58   12.0    0.0   0.00   11.3   21.3  20:23    228
 20   52.0   53.6  15:38   50.5  05:47   13.0    0.0   0.00   10.3   18.8  23:33    215
 21   52.6   54.0  18:56   51.3  03:25   12.4    0.0   0.00   11.6   20.9  16:07    227
 22   54.4   57.4  19:17   52.2  00:05   10.6    0.0   0.00    8.9   21.0  14:25    256
 23   55.0   57.6  17:10   52.5  08:31   10.0    0.0   0.00   10.5   17.7  15:43    256
 24   54.2   55.2  11:06   53.2  16:25   10.8    0.0   0.00    9.9   19.7  15:47    254
 25   55.1   57.4  20:34   52.9  23:41    9.9    0.0   1.13   11.0   21.1  13:49    255
 26   56.0   59.4  20:35   52.9  00:01    9.0    0.0   0.00   11.1   21.1  15:42    212
 27   58.3   63.0  19:09   53.8  07:25    6.7    0.0   0.00    9.8   15.9  14:01    184
 28   56.3   57.4  20:57   55.0  07:42    8.7    0.0   0.00   11.5   20.0  14:54    250
 29   56.1   61.0  23:12   54.0  08:45    8.9    0.0   0.02   10.8   21.2  12:36    253
 30   60.8   64.2  11:13   56.8  23:24    4.2    0.0   0.00    7.1   18.2  14:27    236
---------------------------------------------------------------------------------------
      56.5   71.8     17   50.5     20  256.0    0.0   1.57   10.0   21.3     12    235
