                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2025


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   51.7   55.0  17:57   49.3  05:10   13.3    0.0   0.34   12.8   52.0  13:06    240
 02   52.5   54.5  15:19   50.2  22:01   12.5    0.0   0.91   12.3   31.7  18:22    275
 03   50.6   55.8  14:33   46.0  06:47   14.4    0.0   0.00    5.5   16.3  02:12    263
 04   53.7   56.8  17:05   49.8  00:06   11.3    0.0   0.00    4.4   12.5  02:00    276
 05   52.7   55.0  13:54   49.5  23:56   12.3    0.0   0.05    6.4   23.3  23:44    281
 06   50.9   54.5  17:22   48.2  08:19   14.1    0.0   0.12    7.6   29.8  00:07    269
 07   50.9   57.2  18:30   46.8  03:43   14.1    0.0   0.00    5.7   20.4  16:06    267
 08   50.4   52.9  08:03   48.4  05:54   14.6    0.0   0.00    5.6   14.2  14:20    243
 09   50.7   54.0  18:13   46.4  05:20   14.3    0.0   0.00    5.2   19.5  14:19    267
 10   53.9   59.0  16:33   46.2  08:09   11.1    0.0   0.00    4.5   18.3  17:13    259
 11   52.5   55.2  23:19   49.1  05:41   12.5    0.0   0.00    6.4   20.1  14:56    236
 12   53.6   57.4  12:44   49.6  23:28   11.4    0.0  19.45   14.8   57.0  14:24    163
 13   49.1   51.6  14:28   46.4  08:34   15.9    0.0   0.39   10.5   24.4  17:04    235
 14   49.9   54.1  16:57   43.7  06:33   15.1    0.0   5.16   13.1   50.5  06:49    170
 15   52.7   54.3  17:55   51.6  05:56   12.3    0.0   0.00    9.0   20.1  00:13    258
 16   53.2   57.0  15:43   49.8  04:39   11.8    0.0  10.20   15.0   53.6  18:17    145
 17   51.5   54.0  10:46   49.1  00:56   13.5    0.0   9.45   12.6   53.0  16:24    251
 18   49.7   54.3  19:36   44.4  07:17   15.3    0.0   0.00    6.1   15.8  17:22    287
 19   50.0   55.2  19:15   46.8  06:55   15.0    0.0   0.01    6.9   20.0  22:52    210
 20   51.8   58.5  18:36   46.6  07:45   13.2    0.0   0.00    5.8   19.1  16:49    285
 21   53.6   58.6  17:12   47.7  07:38   11.4    0.0   0.00    4.3   16.5  19:26    272
 22   54.5   57.7  17:30   52.7  04:41   10.5    0.0   0.00    5.5   15.8  17:59    261
 23   52.5   54.7  00:07   50.2  05:33   12.5    0.0   0.00    6.7   21.9  17:23    241
 24   62.6   81.3  17:41   52.0  05:55    2.4    0.0   0.00    3.2   15.4  13:45    357
 25   60.0   68.9  00:21   52.5  23:32    5.0    0.0   0.00    7.8   30.4  21:21    267
 26   56.3   59.4  14:09   52.2  00:59    8.7    0.0   0.02   15.8   54.3  16:23    201
 27   57.3   59.4  11:20   54.1  13:40    7.7    0.0   1.98   14.3   41.5  12:54    182
 28   54.1   56.3  01:13   52.5  23:40   10.9    0.0   0.08   11.4   25.3  14:47    245
 29   51.8   53.4  22:20   48.4  07:17   13.2    0.0   0.00    7.3   19.5  14:52    255
 30   56.0   59.9  15:52   49.8  04:35    9.0    0.0  10.48   14.2   51.6  09:23    164
 31   54.0   57.2  00:00   50.5  15:36   11.0    0.0   2.80   13.8   47.2  18:03    242
---------------------------------------------------------------------------------------
      53.1   81.3     24   43.7     14  369.9    0.0  61.43    8.9   57.0     12    234
